Country,Region,Population,Area,GDP,Literacy,Location_Initials
N. Mariana Islands,OCEANIA,82459,477,12500,"97,0",N
Norway,WESTERN EUROPE,4610820,323802,37800,"100,0",N
Oman,NEAR EAST,3102229,212460,13100,"75,8",O
Pakistan,ASIA (EX. NEAR EAST),165803560,803940,2100,"45,7",P
Palau,OCEANIA,20579,458,9000,"92,0",P
Panama,LATIN AMER. & CARIB,3191319,78200,6300,"92,6",P
Papua New Guinea,OCEANIA,5670544,462840,2200,"64,6",P
Paraguay,LATIN AMER. & CARIB,6506464,406750,4700,"94,0",P
Peru,LATIN AMER. & CARIB,28302603,1285220,5100,"90,9",P
Philippines,ASIA (EX. NEAR EAST),89468677,300000,4600,"92,6",P
Poland,EASTERN EUROPE,38536869,312685,11100,"99,8",P
Portugal,WESTERN EUROPE,10605870,92391,18000,"93,3",P
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,16800,"94,1",P
Qatar,NEAR EAST,885359,11437,21500,"82,5",Q
Reunion,SUB-SAHARAN AFRICA,787584,2517,5800,"88,9",R
Romania,EASTERN EUROPE,22303552,237500,7000,"98,4",R
Russia,C.W. OF IND. STATES,142893540,17075200,8900,"99,6",R
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,1300,"70,4",R
Saint Helena,SUB-SAHARAN AFRICA,7502,413,2500,"97,0",S
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,8800,"97,0",S
Saint Lucia,LATIN AMER. & CARIB,168458,616,5400,"67,0",S
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,6900,"99,0",S
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,2900,"96,0",S
Samoa,OCEANIA,176908,2944,5600,"99,7",S
San Marino,WESTERN EUROPE,29251,61,34600,"96,0",S
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,1200,"79,3",S
Saudi Arabia,NEAR EAST,27019731,1960582,11800,"78,8",S
Senegal,SUB-SAHARAN AFRICA,11987121,196190,1600,"40,2",S
Serbia,EASTERN EUROPE,9396411,88361,2200,"93,0",S
Seychelles,SUB-SAHARAN AFRICA,81541,455,7800,"58,0",S
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,500,"31,4",S
Singapore,ASIA (EX. NEAR EAST),4492150,693,23700,"92,5",S
Slovakia,EASTERN EUROPE,5439448,48845,13300,,S
Slovenia,EASTERN EUROPE,2010347,20273,19000,"99,7",S
Solomon Islands,OCEANIA,552438,28450,1700,,S
Somalia,SUB-SAHARAN AFRICA,8863338,637657,500,"37,8",S
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,10700,"86,4",S
Spain,WESTERN EUROPE,40397842,504782,22000,"97,9",S
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,3700,"92,3",S
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,1900,"61,1",S
Suriname,LATIN AMER. & CARIB,439117,163270,4000,"93,0",S
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,4900,"81,6",S
Sweden,WESTERN EUROPE,9016596,449964,26800,"99,0",S
Switzerland,WESTERN EUROPE,7523934,41290,32700,"99,0",S
Syria,NEAR EAST,18881361,185180,3300,"76,9",S
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,23400,"96,1",T
Tajikistan,C.W. OF IND. STATES,7320815,143100,1000,"99,4",T
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,600,"78,2",T
Thailand,ASIA (EX. NEAR EAST),64631595,514000,7400,"92,6",T
Togo,SUB-SAHARAN AFRICA,5548702,56785,1500,"60,9",T
Tonga,OCEANIA,114689,748,2200,"98,5",T
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,9500,"98,6",T
Tunisia,NORTHERN AFRICA,10175014,163610,6900,"74,2",T
Turkey,NEAR EAST,70413958,780580,6700,"86,5",T
Turkmenistan,C.W. OF IND. STATES,5042920,488100,5800,"98,0",T
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,9600,"98,0",T
Tuvalu,OCEANIA,11810,26,1100,,T
Uganda,SUB-SAHARAN AFRICA,28195754,236040,1400,"69,9",U
Ukraine,C.W. OF IND. STATES,46710816,603700,5400,"99,7",U
United Arab Emirates,NEAR EAST,2602713,82880,23200,"77,9",U
United Kingdom,WESTERN EUROPE,60609153,244820,27700,"99,0",U
United States,NORTHERN AMERICA,298444215,9631420,37800,"97,0",U
Uruguay,LATIN AMER. & CARIB,3431932,176220,12800,"98,0",U
Uzbekistan,C.W. OF IND. STATES,27307134,447400,1700,"99,3",U
Vanuatu,OCEANIA,208869,12200,2900,"53,0",V
Venezuela,LATIN AMER. & CARIB,25730435,912050,4800,"93,4",V
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,2500,"90,3",V
Virgin Islands,LATIN AMER. & CARIB,108605,1910,17200,,V
Wallis and Futuna,OCEANIA,16025,274,3700,"50,0",W
West Bank,NEAR EAST,2460492,5860,800,,W
Western Sahara,NORTHERN AFRICA,273008,266000,,,W
Yemen,NEAR EAST,21456188,527970,800,"50,2",Y
Zambia,SUB-SAHARAN AFRICA,11502010,752614,800,"80,6",Z
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,1900,"90,7",Z
